"Year","Name","GENC","Year2","Life Expectancy at Birth, Both Sexes","Life Expectancy at Birth, Males","Life Expectancy at Birth, Females","Deaths, Both Sexes","Population","Male Population","Female Population"
"2022","Puerto Rico","PR","2022","81.7","78.5","85.1","30255","3098423","1459884","1638539"
"2023","Puerto Rico","PR","2023","81.9","78.7","85.3","30574","3057311","1438458","1618853"
"2024","Puerto Rico","PR","2024","82.1","78.9","85.5","30915","3019450","1418753","1600697"
"2025","Puerto Rico","PR","2025","82.3","79.1","85.7","31285","2984841","1400771","1584070"
"2026","Puerto Rico","PR","2026","82.5","79.4","85.8","31574","2951840","1384240","1567600"
"2027","Puerto Rico","PR","2027","82.7","79.6","86.0","31761","2918745","1368281","1550464"
"2028","Puerto Rico","PR","2028","82.9","79.8","86.2","31939","2885475","1352276","1533199"
"2029","Puerto Rico","PR","2029","83.1","80.0","86.4","32103","2852010","1336219","1515791"
"2030","Puerto Rico","PR","2030","83.3","80.2","86.6","32269","2818318","1320095","1498223"
"2031","Puerto Rico","PR","2031","83.5","80.4","86.7","32418","2784361","1303891","1480470"
"2032","Puerto Rico","PR","2032","83.7","80.7","86.9","32547","2750148","1287615","1462533"
"2033","Puerto Rico","PR","2033","83.9","80.9","87.1","32645","2715698","1271278","1444420"
"2034","Puerto Rico","PR","2034","84.1","81.1","87.2","32714","2681036","1254893","1426143"
"2035","Puerto Rico","PR","2035","84.3","81.3","87.4","32781","2646152","1238457","1407695"
"2036","Puerto Rico","PR","2036","84.4","81.5","87.6","32814","2611038","1221967","1389071"
"2037","Puerto Rico","PR","2037","84.6","81.7","87.7","32813","2575743","1205448","1370295"
"2038","Puerto Rico","PR","2038","84.8","81.9","87.9","32770","2540333","1188931","1351402"
"2039","Puerto Rico","PR","2039","85.0","82.1","88.1","32693","2504864","1172440","1332424"
"2040","Puerto Rico","PR","2040","85.1","82.2","88.2","32614","2469336","1155972","1313364"
"2041","Puerto Rico","PR","2041","85.3","82.4","88.4","32506","2434253","1139763","1294490"
"2042","Puerto Rico","PR","2042","85.5","82.6","88.5","32376","2400156","1124067","1276089"
"2043","Puerto Rico","PR","2043","85.7","82.8","88.7","32218","2367074","1108894","1258180"
"2044","Puerto Rico","PR","2044","85.8","83.0","88.8","32044","2335016","1094242","1240774"
"2045","Puerto Rico","PR","2045","86.0","83.2","89.0","31895","2303946","1080090","1223856"
"2046","Puerto Rico","PR","2046","86.2","83.3","89.1","31730","2273845","1066430","1207415"
"2047","Puerto Rico","PR","2047","86.3","83.5","89.3","31533","2244743","1053274","1191469"
"2048","Puerto Rico","PR","2048","86.5","83.7","89.4","31311","2216677","1040634","1176043"
"2049","Puerto Rico","PR","2049","86.6","83.9","89.6","31083","2189665","1028514","1161151"
"2050","Puerto Rico","PR","2050","86.8","84.0","89.7","30899","2163684","1016902","1146782"
"2051","Puerto Rico","PR","2051","86.9","84.2","89.9","30701","2138686","1005776","1132910"
"2052","Puerto Rico","PR","2052","87.1","84.4","90.0","30475","2114667","995132","1119535"
"2053","Puerto Rico","PR","2053","87.3","84.5","90.1","30239","2091658","984982","1106676"
"2054","Puerto Rico","PR","2054","87.4","84.7","90.3","30013","2069656","975324","1094332"
"2055","Puerto Rico","PR","2055","87.5","84.9","90.4","29835","2048626","966141","1082485"
"2056","Puerto Rico","PR","2056","87.7","85.0","90.5","29646","2028549","957426","1071123"
"2057","Puerto Rico","PR","2057","87.8","85.2","90.7","29424","2009446","949185","1060261"
"2058","Puerto Rico","PR","2058","88.0","85.3","90.8","29186","1991328","941420","1049908"
"2059","Puerto Rico","PR","2059","88.1","85.5","90.9","28959","1974181","934122","1040059"
"2060","Puerto Rico","PR","2060","88.3","85.6","91.0","28796","1957948","927265","1030683"
"2061","Puerto Rico","PR","2061","88.4","85.8","91.2","28613","1942188","920640","1021548"
"2062","Puerto Rico","PR","2062","88.5","85.9","91.3","28394","1926517","914060","1012457"
"2063","Puerto Rico","PR","2063","88.7","86.1","91.4","28159","1910952","907529","1003423"
"2064","Puerto Rico","PR","2064","88.8","86.2","91.5","27929","1895490","901044","994446"
"2065","Puerto Rico","PR","2065","88.9","86.3","91.7","27758","1880092","894585","985507"
"2066","Puerto Rico","PR","2066","89.0","86.5","91.8","27574","1864728","888136","976592"
"2067","Puerto Rico","PR","2067","89.2","86.6","91.9","27365","1849415","881700","967715"
"2068","Puerto Rico","PR","2068","89.3","86.7","92.0","27143","1834168","875279","958889"
"2069","Puerto Rico","PR","2069","89.4","86.9","92.1","26942","1818981","868869","950112"
"2070","Puerto Rico","PR","2070","89.5","87.0","92.2","26827","1803798","862445","941353"
"2071","Puerto Rico","PR","2071","89.7","87.1","92.3","26703","1788582","855990","932592"
"2072","Puerto Rico","PR","2072","89.8","87.3","92.4","26561","1773348","849508","923840"